Feature,Mean Absolute SHAP
url_of_anchor,2.0130239
sslfinal_state,1.8022227
prefix_suffix,0.67091954
web_traffic,0.5066796
sfh,0.4810143
having_sub_domain,0.46637934
having_ip_address,0.43809757
links_in_tags,0.40064007
links_pointing_to_page,0.38443962
request_url,0.26074186
google_index,0.22173193
dnsrecord,0.1677051
domain_registration_length,0.14959343
redirect,0.13928886
shortining_service,0.13597904
age_of_domain,0.12494301
favicon,0.10145682
double_slash_redirecting,0.093239434
https_token,0.09038291
popupwindow,0.08367393
abnormal_url,0.08216919
url_length,0.07867079
page_rank,0.073394515
statistical_report,0.04821318
having_at_symbol,0.045344107
submitting_to_email,0.042010546
iframe,0.037061658
on_mouseover,0.028445125
port,0.025001533
rightclick,0.014118766
